,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,1,"[1.05064, 0.683986, 0.822141, 0.92227, 0.7077, 0.534654, 0.91623, 47.6224, 4.2424, 37.6294]",inf,inf,[1846.77189538 3725.20422755 2727.80363522   89.67674742  269.408367  ],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
1,0,2,1,"[11.0246, 56.5525, 0.0181446, 0.396518, 78.7264, 13.2604, 0.450792, 38.1538, 0.41283, 10.9735]",inf,inf,"[8.38389029e+03 1.37043900e+04 2.02226125e+03 1.37811744e+02
 1.36937966e+01]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
2,0,3,1,"[6.85738, 43.1494, 1.28322, 0.93516, 0.954847, 1.9893, 1.40325, 2.7326, 0.904288, 43.0093]",inf,inf,"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
3,0,4,1,"[8.9756, 0.546152, 3.2881, 0.991554, 3.5858, 0.69505, 3.87035, 7.6529, 4.36261, 2.89485, 0.832999, 5.5209, 1.08647, 0.822393, 27.3453, 2.9446, 0.64509, 32.2479, 1.8957, 1.81344]",inf,inf,"[16014.89137351 19365.23151439  2567.1208908    119.23226157
   438.19457615]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
4,0,5,1,"[0.715382, 1.48617, 0.418515, 0.90375, 0.61596, 26.546, 42.966, 22.8059, 29.2593, 0.691744]",inf,inf,"[17892.13327008  1700.8842274   1195.27391616    66.98304196
   439.07125171]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
5,0,6,1,"[9.1539, 2.7074, 5.99469, 3.1076, 5.4467, 0.95395, 1.3564, 33.8971, 4.23139, 5.9499]",inf,inf,[1966.93667666 8422.1525001  5789.44765075  103.3165285   345.93855698],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
6,0,7,1,"[0.1213, 1.82535, 1.61504, 0.0728, 1.34776, 1.91215, 2.00769, 6.7863, 2.08376, 1.36907, 1.69681, 3.5783, 3.6965, 3.24935, 3.20265, 1.25522, 2.64001, 1.32188, 0.5751, 1.41615]",inf,inf,"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
7,0,8,1,"[0.28483, 0.697012, 0.656691, 0.749632, 54.643, 1.00282, 0.891111, 46.0301, 4.55009, 0.494663]",inf,inf,"[19777.22177813 14963.3130876   2402.21996032   128.92793285
    51.61300329]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
8,0,9,1,"[0.726397, 1.19951, 0.474931, 0.745917, 0.583671, 0.620778, 0.786243, 54.1683, 0.518335, 41.9219]",inf,inf,"[ 8957.87052352 18171.91006186  2468.07074187    78.77753386
    65.01428606]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
9,0,10,1,"[24.7536, 0.269672, 0.7856, 0.7108, 0.623663, 1.34573, 0.79663, 29.8704, 0.952545, 0.648184]",inf,inf,"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
10,0,11,1,"[0.758513, 1.67835, 1.0871, 2.03069, 28.7206, 3.91705, 2.13986, 31.5038, 2.4226, 0.891021]",inf,inf,"[ 1067.25090234 11482.35210984  1733.64287453   108.93055369
   349.87918001]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
11,0,12,1,"[0.653581, 0.545274, 1.24016, 2.1605, 7.23475, 3.13115, 1.02846, 33.1171, 0.768606, 0.44135]",inf,inf,[2046.68857656 8281.11975639 4472.00078864   91.41792695   24.97672947],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
12,0,13,1,"[4.46615, 2.67251, 1.93177, 2.18355, 53.8093, 1.14266, 1.60872, 47.4386, 1.73745, 7.6005]",inf,inf,"[10717.92811831 13275.8929044   3574.44556029   144.4594756
   293.27752025]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
13,0,14,1,"[40.8903, 0.552354, 1.66999, 0.76044, 7.5627, 0.52751, 0.606607, 24.4429, 1.95364, 0.35709]",inf,inf,"[18068.03830576  2749.49408292  1696.38173625   130.73912887
   198.83841849]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
