,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,1,"[0.779164, 0.371384, 0.825681, 3.58369, 1.07253, 0.428298, 5.48123, 0.831986, 1.52956, 0.895962, 0.591821, 0.377502, 34.2715, 1.04382, 0.545137, 10.9145, 6.30068, 0.293572, 0.861278, 1.94978]",inf,inf,[ 7500. 15000.  2000.    50.   320.],[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
1,0,2,1,"[0.499939, 9.50527, 0.0101675, 0.175673, 2.49108, 36.5415, 0.50628, 26.5349, 80.788, 0.575057]",inf,inf,"[8.38389029e+03 1.37043900e+04 2.02226125e+03 1.37811744e+02
 1.36937966e+01]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
2,0,3,1,"[11.9621, 1.08959, 6.1041, 2.35649, 0.694393, 5.08455, 0.823239, 1.22806, 0.596625, 1.41377]",inf,inf,"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
3,0,4,1,"[1.98458, 7.2315, 1.75417, 7.29594, 0.585971, 3.32364, 1.70234, 9.039, 36.5389, 0.729136]",inf,inf,"[16014.89137351 19365.23151439  2567.1208908    119.23226157
   438.19457615]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
4,0,5,1,"[25.8883, 3.45878, 0.689575, 4.25652, 0.390397, 47.323, 0.432019, 0.505565, 39.0121, 44.2954]",inf,inf,"[17892.13327008  1700.8842274   1195.27391616    66.98304196
   439.07125171]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
5,0,6,1,"[13.2686, 5.66183, 4.61803, 10.8442, 1.56081, 4.61933, 3.03515, 9.62468, 1.94501, 1.83518]",inf,inf,[1966.93667666 8422.1525001  5789.44765075  103.3165285   345.93855698],[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
6,0,7,1,"[1.22427, 1.57959, 1.56474, 11.0073, 1.40721, 32.5729, 0.6054, 1.43387, 3.65355, 2.4177]",inf,inf,"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
7,0,8,1,"[0.757284, 6.71723, 0.703953, 1.46794, 0.504, 35.3911, 0.334085, 12.0253, 99.7455, 68.4206]",inf,inf,"[19777.22177813 14963.3130876   2402.21996032   128.92793285
    51.61300329]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
8,0,9,1,"[8.35065, 0.833935, 0.663401, 0.598301, 0.5424, 0.320296, 0.364533, 0.642396, 0.189008, 0.949496, 0.488981, 0.236935, 86.0734, 7.0599, 0.644122, 0.76874, 0.744849, 0.737862, 0.588482, 0.686549]",inf,inf,"[ 8957.87052352 18171.91006186  2468.07074187    78.77753386
    65.01428606]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
9,0,10,1,"[0.43398, 0.788488, 0.221145, 4.21841, 0.995881, 2.06993, 0.886164, 0.733328, 0.597557, 0.743094, 0.7291, 0.9548, 0.440945, 1.5704, 44.3683, 0.485993, 35.3369, 0.189912, 11.012, 40.6018]",inf,inf,"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
10,0,11,1,"[0.549782, 4.26645, 0.538827, 4.30361, 1.82789, 0.408231, 1.37942, 34.7109, 0.58743, 1.75431]",inf,inf,"[ 1067.25090234 11482.35210984  1733.64287453   108.93055369
   349.87918001]",[0. 0. 0. 0. 0.],[ 7500. 15000.  2000.    50.   320.]
