,Timestamp,ROV Number,Marker ID,X Meter,Y Meter,Energy,Alpha,Beta,Belief,d_f,Swarm Send,Swarm Recv,Collision Time,Sense Time
0,0.0,3,6.0,0.2570680628272251,0.7092050209205021,None,None,None,None,None,None,None,None,None
1,0.0,1,10.0,0.31884816753926704,0.3229602510460251,None,None,None,None,None,None,None,None,None
2,0.0,5,14.0,0.543979057591623,0.24503138075313807,None,None,None,None,None,None,None,None,None
3,0.0,4,39.0,0.5345549738219896,0.5588389121338913,None,None,None,None,None,None,None,None,None
4,0.0,2,11.0,0.743717277486911,0.4233786610878661,None,None,None,None,None,None,None,None,None
5,0.06,3,6.0,0.25732984293193717,0.7092050209205021,None,None,None,None,None,None,None,None,None
6,0.06,1,10.0,0.31910994764397904,0.3226987447698745,None,None,None,None,None,None,None,None,None
7,0.06,5,14.0,0.543979057591623,0.24503138075313807,None,None,None,None,None,None,None,None,None
8,0.06,4,39.0,0.5345549738219896,0.5588389121338913,None,None,None,None,None,None,None,None,None
9,0.06,2,11.0,0.743717277486911,0.4233786610878661,None,None,None,None,None,None,None,None,None
10,0.12,3,6.0,0.2570680628272251,0.7092050209205021,None,None,None,None,None,None,None,None,None
11,0.12,1,10.0,0.31910994764397904,0.3226987447698745,None,None,None,None,None,None,None,None,None
12,0.12,5,14.0,0.543979057591623,0.24476987447698745,None,None,None,None,None,None,None,None,None
13,0.12,4,39.0,0.5345549738219896,0.5588389121338913,None,None,None,None,None,None,None,None,None
14,0.12,2,11.0,0.743717277486911,0.4233786610878661,None,None,None,None,None,None,None,None,None
15,0.17,3,6.0,0.25732984293193717,0.7092050209205021,None,None,None,None,None,None,None,None,None
16,0.17,1,10.0,0.31884816753926704,0.3229602510460251,None,None,None,None,None,None,None,None,None
17,0.17,5,14.0,0.543979057591623,0.24476987447698745,None,None,None,None,None,None,None,None,None
18,0.17,4,39.0,0.5345549738219896,0.5588389121338913,None,None,None,None,None,None,None,None,None
19,0.17,2,11.0,0.743717277486911,0.4233786610878661,None,None,None,None,None,None,None,None,None
20,0.45,3,6.0,0.25732984293193717,0.7092050209205021,None,None,None,None,None,None,None,None,None
21,0.45,1,10.0,0.31910994764397904,0.3226987447698745,None,None,None,None,None,None,None,None,None
22,0.45,5,14.0,0.543979057591623,0.24503138075313807,None,None,None,None,None,None,None,None,None
23,0.45,4,39.0,0.5345549738219896,0.5588389121338913,None,None,None,None,None,None,None,None,None
24,0.45,2,11.0,0.743717277486911,0.4233786610878661,None,None,None,None,None,None,None,None,None
25,0.67,3,6.0,0.25732984293193717,0.7092050209205021,None,None,None,None,None,None,None,None,None
26,0.67,1,10.0,0.31910994764397904,0.3226987447698745,None,None,None,None,None,None,None,None,None
27,0.67,5,14.0,0.543979057591623,0.24476987447698745,None,None,None,None,None,None,None,None,None
28,0.67,4,39.0,0.5345549738219896,0.5588389121338913,None,None,None,None,None,None,None,None,None
29,0.67,2,11.0,0.743717277486911,0.4233786610878661,None,None,None,None,None,None,None,None,None
30,0.91,3,6.0,0.2570680628272251,0.7092050209205021,None,None,None,None,None,None,None,None,None
31,0.91,1,10.0,0.31884816753926704,0.3229602510460251,None,None,None,None,None,None,None,None,None
32,0.91,5,14.0,0.543979057591623,0.24503138075313807,None,None,None,None,None,None,None,None,None
33,0.91,4,39.0,0.5345549738219896,0.5588389121338913,None,None,None,None,None,None,None,None,None
