,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,2,"[10.937, 4.84665, 1.90108, 1.5485, 59.3301, 2.00164, 14.3087, 43.7526, 3.46108, 1.51889]",inf,inf,[6606.69642008 4092.97268076 4096.35483175   79.96546737  133.41363755],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
1,0,2,2,"[26.1251, 52.2641, 0.284027, 0.516568, 0.564632, 0.218057, 4.21545, 9.85328, 0.433194, 3.87191]",inf,inf,"[12422.67665539 10582.84188554  1672.89972672   101.35781213
    92.21993282]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
2,0,3,2,"[117.371, 0.732675, 1.26606, 1.47844, 80.7725, 6.06848, 55.1428, 58.7686, 1.49072, 1.13993]",inf,inf,"[15706.70295633 17079.50585279  3471.18418691   134.65614854
    39.8227385 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
3,0,4,2,"[49.788, 8.5677, 0.739923, 1.10478, 1.25092, 60.0265, 4.87988, 16.7407, 1.48269, 9.77633]",inf,inf,"[10104.92180243  1305.73008774  3140.61163799    59.65309157
    63.57998585]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
4,0,5,2,"[0.639399, 0.19595, 0.807718, 3.69698, 8.42063, 0.428896, 9.31665, 59.9138, 1.30673, 0.88717]",inf,inf,"[11934.90617957  4520.24001208  1534.72842155    72.03062071
   174.9131425 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
5,0,6,2,"[44.2681, 2.43712, 4.98348, 3.84562, 67.3394, 1.26278, 3.58433, 13.3895, 6.7191, 2.56943]",inf,inf,[9355.74969165 4034.8645253  4202.03362607   98.30698356  252.61836001],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
6,0,7,2,"[2.20581, 3.44638, 4.11335, 2.82747, 34.6175, 10.0123, 10.7132, 44.8296, 3.00816, 21.9654]",inf,inf,"[ 7737.85302237 15872.74908883  3900.02089439    66.22985985
   350.3761733 ]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
7,0,8,2,"[12.4955, 3.5298, 5.89488, 2.28397, 16.0618, 2.5106, 15.2389, 40.9383, 2.61513, 0.797025]",inf,inf,"[19291.02160179 10000.1672234   5447.60031973    84.16136527
   283.57206381]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
8,0,9,2,"[16.0321, 6.39015, 27.2635, 6.92347, 26.9444, 15.8066, 3.10485, 38.0637, 7.39657, 14.4412]",inf,inf,[8550.91926592 8734.94526054 4882.79592499  103.56041735  476.87111347],[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
9,0,10,2,"[1.37554, 0.8811, 2.07099, 2.02771, 36.1459, 1.31273, 1.71216, 31.8748, 1.86514, 1.2176, 0.996611, 15.4363, 1.33861, 3.49492, 58.8936, 18.302, 1.21581, 43.8559, 10.1513, 0.779736]",inf,inf,"[10884.16320296  1641.8984455   2831.71200838   135.0850504
   203.13752152]",[0. 0. 0. 0. 0.],[8719.89804284  518.52463656 3748.31238939   93.53223926  210.18390104]
